,Model,Persona,Type,Distinct Words,Top KL Divergent Words,Top TF-IDF Words
0,Bing,Activist Egalitarians,vote,"join, politicians, outlets, undemocratic4, segments, events5, learn, investment1, backlash, listening, background, tanks, face2, decisions3","aligns, voice, social, likely, concerns, address, proposal, value, campaign, potential","background, tanks, join, people, aboriginal, torres, strait, islander, want, voice"
1,Bing,Activist Egalitarians,yes-campaign,"racism, megan, wellbeing, mills, recruit, fields, donating, over-incarceration, emphasising, krakouer, networks, academics, perth, involved, events, patty, feel, attending, third, word, keen, adam, artists, featuring, sectors, ngos, chamber, misinformation, mind, spreading, faith, petitions, discrimination, athletes, loses, fearmongering, racists, unions","effectively, social, target, national, create, voice, vote, support, change, system","strait, well, aboriginal, one, islander, torres, activist, spreading, campaign, voice"
2,Bing,Activist Egalitarians,no-campaign,"symbolic, problems, race, genocide, dissatisfaction, flaws, pushing, undemocratic, dispossession, distrust, colonisation, necessity, clarity, elites, exposing, discouraging","highlight, social, government, national, parliament, create, voice, support, vote, system","strategy, aboriginal, strait, one, torres, islander, despite, elites, campaign, voice"
3,Bing,Prudent Traditionalists,vote,"agree, career-oriented, deliver, quickly, luxury, radical, spenders, promises, appeasement, weakness, world, unimpressed, reasons","stability, approaches, system, value, traditionalist, prudent, indigenous, political, social, parliament","quickly, appeasement, world, agree, people, parliament, believe, work, reasons, voice"
4,Bing,Prudent Traditionalists,yes-campaign,"thousands, high, zealand, proven, years, assures, efficient, incarceration, unique, disparity, canada, sbs, across, culture, adopted","policies, create, emphasize, voice, highlight, stability, community, indigenous, prudent, traditionalist","years, national, effectively, indigenous, key, campaign, published, pamphlets, arguments, voice"
5,Bing,Prudent Traditionalists,no-campaign,"function, warns, resentment, interfere, demands, veto, race-based, services, merge, roll, adding, electoral","voice, stability, community, emphasize, political, indigenous, highlight, vote, traditionalist, prudent","demands, adding, indigenous, australians, referendum, create, sovereignty, campaign, race-based, voice"
6,ChatGPT 3.5,Activist Egalitarians,vote,"interactions, various, even, disproportionately, sides, allocate, assessment, ideological, particular, remember, debate","share, impact, value, australians, policies, representation, create, indigenous, provide, process","potential, aligns, concerns, action, emphasis, climate, issues, proposal, particular, broader"
7,ChatGPT 3.5,Activist Egalitarians,yes-campaign,"camaraderie, responses, rectifying, entrepreneurs, mention, compelling, facilitate, bear, illustrate, distribution, growth, real-world, brunt, link, enable, experienced, spending, fairer, alleviate, stronger, tangible, core, often","emphasize, promote, australians, support, equality, greater, justice, parliament, value, campaign","highlight, contribute, community, impact, stories, concerns, inclusion, parliament, indigenous, voice"
8,ChatGPT 3.5,Activist Egalitarians,no-campaign,"complicate, unequal, arise, streamlined, recovery, instances, tackling, unified, pursued, made, necessitating, everyone, efforts, practical, confusion","activist, australians, action, system, society, campaign, value, emphasize, potential, aligns","address, body, create, explain, advisory, national, unity, separate, current, concerns"
9,ChatGPT 3.5,Prudent Traditionalists,vote,"financial, perceive, indicates, stem, population, depend, prudence, significant, percent, weigh, seem, consideration, sufficient, whereas, lean, nearly, conservatism, ambitious, mixed, research","parliament, vote, concerns, national, social, potential, traditionalist, prudent, importance, impact","prioritize, safety, likely, value, age, cautious, societal, stability, decisions, approaches"
10,ChatGPT 3.5,Prudent Traditionalists,yes-campaign,"gradual, led, shaping, underscore, seeks, uninterrupted, avenue, nature, deliberate","issues, promote, indigenous, support, importance, change, impact, parliament, campaign, share","traditions, explain, work, design, approaches, parliament, value, voice, safety, proposal"
11,ChatGPT 3.5,Prudent Traditionalists,no-campaign,"draw, affirm, unforeseen, shift, dilute, norms, crafting, hold, parallels, dear, reiterate, trajectory, diverging, anchored, express, safeguarding, signifies, avoid","inclusion, emphasize, support, create, existing, target, representation, social, impact, campaign","safety, traditionalist, prudent, vote, disrupting, express, framed, concerns, proposal, value"
12,LLAMA2-13B,Activist Egalitarians,vote,"furthermore, summary, vital, movement, taken, context","indigenous, egalitarian, activist, perspectives, process, parliament, system, aligns, address, voice","step, strong, policies, promote, indigenous, views, voice, parliament, established, australians"
13,LLAMA2-13B,Activist Egalitarians,yes-campaign,"autonomy, indigenous-led, ignored, amplify, say, partnering, fully, healing, participate","importance, activist, effectively, policies, social, address, parliament, proposal, voice, process","self-determination, towards, platform, parliament, australians, step, voice, indigenous, build, help"
14,LLAMA2-13B,Activist Egalitarians,no-campaign,"teeth, tokenistic, under-resourced, real, access, bold, force, inadequate, small, hashtags, underfunded, perpetuate, tools, limited, pressing, opposition, little, authority, fundamental, band-aid, distraction, poverty, attention, mobilize","representation, government, perspectives, emphasize, parliament, change, proposal, provide, community, voice","online, inequalities, australians, tokenistic, real, inadequate, use, indigenous, parliament, voice"
15,LLAMA2-13B,Prudent Traditionalists,yes-campaign,,"whole, wide, without, word, work, world, worth, years, zealand, aboriginal","whole, wide, without, word, work, world, worth, years, zealand, aboriginal"
16,LLAMA2-13B,Prudent Traditionalists,no-campaign,,"whole, wide, without, word, work, world, worth, years, zealand, aboriginal","whole, wide, without, word, work, world, worth, years, zealand, aboriginal"
17,LLAMA2-13B,Prudent Traditionalists,vote,"course, generalizations, safe, greens, relatively, opinions","process, parliament, value, approaches, community, aligns, change, voice, australians, social","policies, party, information, traditionalist, prudent, seen, parliament, likely, voice, based"
18,LLAMA2-7B,Activist Egalitarians,vote,"worth, therefore","australians, aligns, vote, activist, parliament, social, political, indigenous, address, voice","wealth, note, egalitarian, therefore, worth, support, parliament, likely, favor, voice"
19,LLAMA2-7B,Activist Egalitarian,yes-campaign,"infrastructure, advancing, inspired, regional, projects, job, whole, creation, empathy, bridges, legacy, together, passionate, bring","support, action, encourage, parliament, voice, potential, political, concerns, likely, inclusion","build, stories, parliament, understanding, indigenous, voice, economic, emphasize, regional, help"
20,LLAMA2-7B,Activist Egalitarian,no-campaign,"others, community-based, top-down, exacerbate, balance, truly, grassroots, light, meaningful, whether, tensions","emphasize, concerns, resonate, change, voice, vote, promote, approaches, social, indigenous","critical, initiatives, egalitarians, activist, community-based, existing, political, parliament, voice, potential"
21,LLAMA2-7B,Prudent Traditionalist,vote,"unlikely, trauma, goes, smaller, coalition, liberal-national, independent, older","voice, australians, parliament, promote, representation, traditions, national, political, social, provide","parties, proposal, parliament, prudent, traditionalist, offshore, seekers, asylum, likely, voice"
22,LLAMA2-7B,Prudent Traditionalist,yes-campaign,"easy, consultation, leaders, increased, wide, website, emotional, proof, call, consensus, long, phone, tried-and-true, constantly, extensive, confidence, register, visit","parliament, campaign, system, community, approaches, processing, potential, target, support, voice","mechanisms, representation, traditions, emphasize, indigenous, provide, clear, political, voice, parliament"
23,LLAMA2-7B,Prudent Traditionalist,no-campaign,"rational, answer, data, red, assumption, manipulation, expensive, reject, reports, logical, evidence, destabilize, drawbacks, quo, negative, abuse, studies, tape, n't","importance, approach, highlighting, campaign, values, explain, representation, target, support, providing","prudent, traditionalist, system, argue, risks, skeptical, political, potential, voice, parliament"
